Target,Predictor,Importance,Importance_Type,Importance_Rank
delta_DA_NoCDF_minus_OPL_runoff,SMC_L3_OPL,0.05990320100210929,Impurity,11.0
delta_DA_NoCDF_minus_OPL_runoff,SMC_L4_OPL,0.07235586584277329,Impurity,7.0
delta_DA_NoCDF_minus_OPL_runoff,month,0.013787675240389702,Impurity,13.0
delta_DA_NoCDF_minus_OPL_runoff,season,0.011391227916800955,Impurity,14.0
delta_DA_NoCDF_minus_OPL_runoff,elevation,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_runoff,soil_texture,0.08833984049260733,Impurity,2.0
delta_DA_NoCDF_minus_OPL_runoff,land_cover,0.05705907389062437,Impurity,12.0
delta_DA_NoCDF_minus_OPL_runoff,irrigation_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_runoff,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_runoff,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_baseflow,precipitation_model,0.08712641432598216,Impurity,3.0
delta_DA_NoCDF_minus_OPL_baseflow,SSM_OPL,0.06126263324049504,Impurity,10.0
delta_DA_NoCDF_minus_OPL_baseflow,RZSM_OPL,0.05826015254864354,Impurity,11.0
delta_DA_NoCDF_minus_OPL_baseflow,Evap_tavg_OPL,0.07661867479859524,Impurity,6.0
delta_DA_NoCDF_minus_OPL_baseflow,Qs_tavg_OPL,0.08211146341371382,Impurity,4.0
delta_DA_NoCDF_minus_OPL_baseflow,Qsb_tavg_OPL,0.13752566327572474,Impurity,1.0
delta_DA_NoCDF_minus_OPL_baseflow,SMC_L1_OPL,0.06273762719803375,Impurity,9.0
delta_DA_NoCDF_minus_OPL_baseflow,SMC_L2_OPL,0.05811791704128944,Impurity,12.0
delta_DA_NoCDF_minus_OPL_baseflow,SMC_L3_OPL,0.06375744145538435,Impurity,8.0
delta_DA_NoCDF_minus_OPL_baseflow,SMC_L4_OPL,0.0768465259175751,Impurity,5.0
delta_DA_NoCDF_minus_OPL_baseflow,month,0.023146617303540788,Impurity,13.0
delta_DA_NoCDF_minus_OPL_baseflow,season,0.019686769688487406,Impurity,14.0
delta_DA_NoCDF_minus_OPL_baseflow,elevation,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_baseflow,soil_texture,0.07486968003211887,Impurity,7.0
delta_DA_NoCDF_minus_OPL_baseflow,land_cover,0.11793241976041557,Impurity,2.0
delta_DA_NoCDF_minus_OPL_baseflow,irrigation_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_baseflow,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_baseflow,land_cover_dominant_fraction,0.0,Impurity,15.0
