group,n_ref,ref_mean,ref_std
"(30.0, -8.25, 8)",5,0.21763945,0.003753597
"(30.0, -8.25, 9)",5,0.22121473,0.002452528
"(30.0, -8.25, 10)",5,0.22525191,0.008916383
"(30.0, -8.25, 11)",5,0.23145334,0.012461946
"(30.0, -8.25, 12)",5,0.23241942,0.010144134
"(30.0, -8.200012, 1)",5,0.21955344,0.005777824
"(30.0, -8.200012, 2)",5,0.21849151,0.009737643
"(30.0, -8.200012, 3)",5,0.21649039,0.008203864
"(30.0, -8.200012, 4)",5,0.21085453,0.004669042
"(30.0, -8.200012, 5)",5,0.20821276,0.0049150563
"(30.0, -8.200012, 6)",5,0.20656586,0.0051224963
"(30.0, -8.200012, 7)",5,0.20683701,0.0049279067
"(30.0, -8.200012, 8)",5,0.20854855,0.0043017208
"(30.0, -8.200012, 9)",5,0.21299186,0.0038137874
"(30.0, -8.200012, 10)",5,0.21739021,0.0103898905
"(30.0, -8.200012, 11)",5,0.22437306,0.013408027
"(30.0, -8.200012, 12)",5,0.22606158,0.011370581
"(30.0, -8.150024, 1)",5,0.21952426,0.0058059115
"(30.0, -8.150024, 2)",5,0.21850586,0.009285162
"(30.0, -8.150024, 3)",5,0.21666455,0.007767487
"(30.0, -8.150024, 4)",5,0.210725,0.004414188
"(30.0, -8.150024, 5)",5,0.20815289,0.0047148825
"(30.0, -8.150024, 6)",5,0.20647857,0.0048891157
"(30.0, -8.150024, 7)",5,0.20672452,0.004747955
"(30.0, -8.150024, 8)",5,0.20842707,0.004092439
"(30.0, -8.150024, 9)",5,0.21297924,0.003721811
"(30.0, -8.150024, 10)",5,0.21752746,0.010935123
"(30.0, -8.150024, 11)",5,0.22402835,0.013223417
"(30.0, -8.150024, 12)",5,0.22559455,0.011337291
"(30.0, -8.099976, 1)",5,0.21988972,0.006047508
"(30.0, -8.099976, 2)",5,0.2187854,0.0090384185
"(30.0, -8.099976, 3)",5,0.21701841,0.007509433
"(30.0, -8.099976, 4)",5,0.21075945,0.004229847
"(30.0, -8.099976, 5)",5,0.20819485,0.0044784066
"(30.0, -8.099976, 6)",5,0.20641711,0.0047742235
"(30.0, -8.099976, 7)",5,0.20660296,0.0046596425
"(30.0, -8.099976, 8)",5,0.20829925,0.0039845575
"(30.0, -8.099976, 9)",5,0.21303579,0.0037408755
"(30.0, -8.099976, 10)",5,0.21764907,0.011730906
"(30.0, -8.099976, 11)",5,0.22387278,0.013297689
"(30.0, -8.099976, 12)",5,0.22542462,0.011599779
"(30.0, -8.049988, 1)",5,0.21997733,0.006321115
"(30.0, -8.049988, 2)",5,0.21866469,0.008782232
"(30.0, -8.049988, 3)",5,0.21695213,0.0073329927
"(30.0, -8.049988, 4)",5,0.21076003,0.0040745563
"(30.0, -8.049988, 5)",5,0.20817809,0.004178639
"(30.0, -8.049988, 6)",5,0.20632014,0.0046660714
"(30.0, -8.049988, 7)",5,0.20645592,0.0045307106
"(30.0, -8.049988, 8)",5,0.20814371,0.0038829872
"(30.0, -8.049988, 9)",5,0.21295545,0.003732078
"(30.0, -8.049988, 10)",5,0.21737584,0.012138551
"(30.0, -8.049988, 11)",5,0.22352162,0.013351936
"(30.0, -8.049988, 12)",5,0.22503023,0.0119347945
"(30.0, -8.0, 1)",5,0.2197485,0.006649637
"(30.0, -8.0, 2)",5,0.2181706,0.008618807
