land_cover,year,month,pct_area,experiment,dry_category
14,2019,5,100.0,OPL,D0
14,2019,6,100.0,OPL,D0
14,2019,7,100.0,OPL,D0
14,2019,8,100.0,OPL,D0
14,2019,9,100.0,OPL,D0
14,2019,10,100.0,OPL,D0
14,2019,11,0.0,OPL,D0
14,2019,12,0.0,OPL,D0
14,2020,1,100.0,OPL,D0
14,2020,2,100.0,OPL,D0
14,2020,3,100.0,OPL,D0
14,2020,4,100.0,OPL,D0
14,2020,5,100.0,OPL,D0
14,2020,6,100.0,OPL,D0
14,2020,7,100.0,OPL,D0
14,2020,8,100.0,OPL,D0
14,2020,9,100.0,OPL,D0
14,2020,10,0.0,OPL,D0
14,2020,11,100.0,OPL,D0
14,2020,12,100.0,OPL,D0
16,2016,1,43.78488,OPL,D0
16,2016,2,40.97334,OPL,D0
16,2016,3,29.592815,OPL,D0
16,2016,4,51.78443,OPL,D0
16,2016,5,30.2994,OPL,D0
16,2016,6,41.137726,OPL,D0
16,2016,7,36.8503,OPL,D0
16,2016,8,36.81437,OPL,D0
16,2016,9,34.63473,OPL,D0
16,2016,10,34.53892,OPL,D0
16,2016,11,5.4371257,OPL,D0
16,2016,12,0.035928145,OPL,D0
16,2017,1,0.28742516,OPL,D0
16,2017,2,1.5568863,OPL,D0
16,2017,3,10.826347,OPL,D0
16,2017,4,46.562874,OPL,D0
16,2017,5,35.868263,OPL,D0
16,2017,6,17.449102,OPL,D0
16,2017,7,17.88024,OPL,D0
16,2017,8,18.131737,OPL,D0
16,2017,9,47.341316,OPL,D0
16,2017,10,18.443113,OPL,D0
16,2017,11,62.431137,OPL,D0
16,2017,12,38.622753,OPL,D0
