year,month,pct_area,experiment,dry_category,robustness
2017,3,39.145355,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,4,57.24891,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,5,58.328133,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,6,48.122272,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,7,42.82595,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,8,37.816593,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,9,44.647537,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,10,41.2539,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,11,49.943855,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,12,42.75109,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,1,36.955708,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,2,34.728634,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,3,40.679977,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,4,51.447285,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,5,47.011852,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,6,48.78977,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,7,48.577667,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,8,42.607613,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,9,44.366814,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,10,45.277603,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,11,40.736122,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2018,12,49.93762,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,1,53.187775,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,2,55.75795,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,3,61.752964,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,4,61.765438,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,5,73.76794,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,6,67.59825,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,7,61.37243,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,8,56.986897,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,9,54.02994,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,10,56.519024,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,11,51.397377,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2019,12,57.17405,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,1,57.87898,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,2,56.439907,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,3,66.937,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,4,64.23581,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,5,64.87835,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,6,59.282597,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,7,54.054897,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,8,51.890205,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,9,52.60761,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,10,52.757328,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,11,49.868996,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2020,12,55.458515,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,1,60.554375,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,2,50.128494,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,3,36.94947,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,4,48.73986,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,5,42.227074,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,6,36.444168,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,7,26.855894,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,8,23.67436,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,9,26.65627,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
2016,10,27.779165,DA_NoCDF,D4,qc_only_not_robust_with_5yr_reference
